source_method_name,source_method_type,meas_num_id,meas_id,n_blocks
ABBE:monoch:dT:0.01,custom,GLOBmeas_1767,abbe_monoch_dt_0_01,1
ABBE:monochFP,custom,GLOBmeas_1423,abbe_monochfp,2
AC Method,custom,GLOBmeas_535,ac_method,4
AC calorimetry,standard,GLOBmeas_113,ac_calorimetry,5
AC method,custom,GLOBmeas_535,ac_method,7
ADIACA:FP,custom,GLOBmeas_770,adiaca_fp,6
ADIACA:UFactor:0.5,custom,GLOBmeas_894,adiaca_ufactor_0_5,5
ADIACA:UFactor:0.5:FP,custom,GLOBmeas_1773,adiaca_ufactor_0_5_fp,1
ADIACA:UFactor:10,custom,GLOBmeas_1429,adiaca_ufactor_10,2
ADIACA:UFactor:12,custom,GLOBmeas_1430,adiaca_ufactor_12,2
ADIACA:UFactor:16,custom,GLOBmeas_771,adiaca_ufactor_16,6
ADIACA:UFactor:16:FP,custom,GLOBmeas_1432,adiaca_ufactor_16_fp,2
ADIACA:UFactor:16:dHTR:100,custom,GLOBmeas_1431,adiaca_ufactor_16_dhtr_100,2
ADIACA:UFactor:2,custom,GLOBmeas_363,adiaca_ufactor_2,21
ADIACA:UFactor:2:FP,custom,GLOBmeas_506,adiaca_ufactor_2_fp,12
ADIACA:UFactor:32,custom,GLOBmeas_1433,adiaca_ufactor_32,2
ADIACA:UFactor:4,custom,GLOBmeas_291,adiaca_ufactor_4,36
ADIACA:UFactor:4:FP,custom,GLOBmeas_707,adiaca_ufactor_4_fp,7
ADIACA:UFactor:4:UFactor:4,custom,GLOBmeas_1774,adiaca_ufactor_4_ufactor_4,1
ADIACA:UFactor:6,custom,GLOBmeas_1775,adiaca_ufactor_6,1
ADIACA:UFactor:8,custom,GLOBmeas_406,adiaca_ufactor_8,17
ADIACA:UFactor:8:FP,custom,GLOBmeas_772,adiaca_ufactor_8_fp,6
ADIACA:corrimp,custom,GLOBmeas_1211,adiaca_corrimp,3
ADIACA:corrimpFP:UFactor:4:FP,custom,GLOBmeas_1772,adiaca_corrimpfp_ufactor_4_fp,1
ADIACNV,custom,GLOBmeas_773,adiacnv,6
ANNULAR:UFactor:6,custom,GLOBmeas_1434,annular_ufactor_6,2
APPEAR,custom,GLOBmeas_652,appear,8
ARCHIM,custom,GLOBmeas_444,archim,15
ATAGO RX-1000,custom,GLOBmeas_710,atago_rx_1000,7
ATAGO RX-5000 refractometer with Hero Therm thermostat,custom,GLOBmeas_711,atago_rx_5000_refractometer_with_hero_therm_thermostat,7
ATR infrared spectroscopy,custom,GLOBmeas_1438,atr_infrared_spectroscopy,2
Abbe Refractometer,custom,GLOBmeas_892,abbe_refractometer,5
Absorbance Measurements,custom,GLOBmeas_1208,absorbance_measurements,3
"Absorbance, UV",custom,GLOBmeas_1768,absorbance_uv,1
Absorption,custom,GLOBmeas_1769,absorption,1
Acid Titration of Aniline and use of Refractive Index,custom,GLOBmeas_1210,acid_titration_of_aniline_and_use_of_refractive_index,3
Acoustic Method,custom,GLOBmeas_1427,acoustic_method,1
Acoustic method,custom,GLOBmeas_1427,acoustic_method,1
Addition of solute until saturation,custom,GLOBmeas_1021,addition_of_solute_until_saturation,4
Adiabatic Solution Calorimetry,custom,GLOBmeas_335,adiabatic_solution_calorimetry,6
Adiabatic calorimetry,standard,GLOBmeas_30,adiabatic_calorimetry,355
Advanced Condctivity Orion 162A,custom,GLOBmeas_1776,advanced_condctivity_orion_162a,1
Advanced Conductivity Orion 162A,custom,GLOBmeas_1022,advanced_conductivity_orion_162a,4
Alternating current cell with electrodes,standard,GLOBmeas_14,alternating_current_cell_with_electrodes,906
Ampoule method,custom,GLOBmeas_1212,ampoule_method,3
Analysis of excess enthalpy data,custom,GLOBmeas_1777,analysis_of_excess_enthalpy_data,1
Analysis of headspace GC VLE data,custom,GLOBmeas_1023,analysis_of_headspace_gc_vle_data,4
Analytical gravimetric method,custom,GLOBmeas_896,analytical_gravimetric_method,5
Angle minimization by sell rotation,custom,GLOBmeas_708,angle_minimization_by_sell_rotation,7
Anton Paar DSA 48,custom,GLOBmeas_394,anton_paar_dsa_48,18
Anton Paar DSA-5000,custom,GLOBmeas_651,anton_paar_dsa_5000,8
Anton Paar Gyromat Digital Automatic Polarimeter,custom,GLOBmeas_395,anton_paar_gyromat_digital_automatic_polarimeter,18
Anton Paar Stabinger viscometer,custom,GLOBmeas_709,anton_paar_stabinger_viscometer,7
Anton Paar WR Refractometer,custom,GLOBmeas_897,anton_paar_wr_refractometer,5
"Anton Parr, DSA 5000 densimeter and speed of sound analyzer",custom,GLOBmeas_1214,anton_parr_dsa_5000_densimeter_and_speed_of_sound_analyzer,3
Anton-Paar DSA48 sound analyzer,custom,GLOBmeas_650,anton_paar_dsa48_sound_analyzer,8
Archimedean displacement method,custom,GLOBmeas_1215,archimedean_displacement_method,3
Assumed that ionic liquid is non-volatile,custom,GLOBmeas_1435,assumed_that_ionic_liquid_is_non_volatile,2
Atomic Abosorption Spectrometry,custom,GLOBmeas_1780,atomic_abosorption_spectrometry,1
Atomic Absorption,custom,GLOBmeas_712,atomic_absorption,3
Atomic absorption,custom,GLOBmeas_712,atomic_absorption,4
Atomic absorption spectroscopy,custom,GLOBmeas_283,atomic_absorption_spectroscopy,2
Automatic Anton Paar RXA-156 refractometer,custom,GLOBmeas_1785,automatic_anton_paar_rxa_156_refractometer,1
Automatic Refractometer,custom,GLOBmeas_1787,automatic_refractometer,1
Automatic microviscometer,custom,GLOBmeas_1786,automatic_microviscometer,1
BELLOWS:UFactor:4,custom,GLOBmeas_1219,bellows_ufactor_4,3
BOMBMI:Method:BOMBMI,custom,GLOBmeas_899,bombmi_method_bombmi,5
BOMBRT:BOMBRT,custom,GLOBmeas_1793,bombrt_bombrt,1
BOMBRT:Method:BOMBRT,custom,GLOBmeas_654,bombrt_method_bombrt,8
BOMBST:Method,custom,GLOBmeas_1794,bombst_method,1
BOMBST:Method:BOMBST,custom,GLOBmeas_396,bombst_method_bombst,18
BOMBST:UFactor:100,custom,GLOBmeas_1442,bombst_ufactor_100,2
BOMBSTMethod,custom,GLOBmeas_1795,bombstmethod,1
BUBBLEP:UFactor:4,custom,GLOBmeas_1444,bubblep_ufactor_4,2
BUBBLEP:UFactor:8,custom,GLOBmeas_714,bubblep_ufactor_8,7
BUOYAN,custom,GLOBmeas_407,buoyan,17
BUOYAN:UFactor:32,custom,GLOBmeas_600,buoyan_ufactor_32,9
BUOYAN:UFactor:64,custom,GLOBmeas_1029,buoyan_ufactor_64,4
Barker's method,custom,GLOBmeas_1439,barker_s_method,2
Barkers Method,custom,GLOBmeas_774,barkers_method,6
Beer's Law,custom,GLOBmeas_304,beer_s_law,32
Beer-Lambert Law,custom,GLOBmeas_1217,beer_lambert_law,3
Beer-Lambert's law,custom,GLOBmeas_425,beer_lambert_s_law,16
Beer-lambert law of absrobance,custom,GLOBmeas_1218,beer_lambert_law_of_absrobance,3
Bellows volumetry,standard,GLOBmeas_65,bellows_volumetry,65
Boetius hot stage apparatus,custom,GLOBmeas_1220,boetius_hot_stage_apparatus,3
Boetius table,custom,GLOBmeas_1441,boetius_table,2
Bottle,custom,GLOBmeas_900,bottle,5
"Bridge type OH-301 made in Radelcis, Hungary",custom,GLOBmeas_1028,bridge_type_oh_301_made_in_radelcis_hungary,4
Brillouin Light Scattering,custom,GLOBmeas_324,brillouin_light_scattering,7
Brillouin light scattering,custom,GLOBmeas_324,brillouin_light_scattering,21
Brillouin light scattering method,custom,GLOBmeas_1796,brillouin_light_scattering_method,1
Brillouin light scattering technique,custom,GLOBmeas_1797,brillouin_light_scattering_technique,1
Brillouin scattering,custom,GLOBmeas_713,brillouin_scattering,7
Bubble Point,custom,GLOBmeas_1798,bubble_point,1
Buoyancy - hydrostatic balance,standard,GLOBmeas_54,buoyancy_hydrostatic_balance,125
Buoyancy - hydrostatic balance with magnetic suspension - one sinker,standard,GLOBmeas_50,buoyancy_hydrostatic_balance_with_magnetic_suspension_one_sinker,151
Buoyancy - hydrostatic balance with magnetic suspension - two sinkers,standard,GLOBmeas_77,buoyancy_hydrostatic_balance_with_magnetic_suspension_two_sinkers,38
Burnett expansion method,standard,GLOBmeas_81,burnett_expansion_method,31
By P(X) extreme,standard,GLOBmeas_87,by_p_x_extreme,25
By T or P extreme,standard,GLOBmeas_72,by_t_or_p_extreme,51
By T(X) extreme,standard,GLOBmeas_84,by_t_x_extreme,29
By X=Y,standard,GLOBmeas_39,by_x_y,265
CALVET::solid,custom,GLOBmeas_287,calvet_solid,2
CALVET:UFactor:0.5,custom,GLOBmeas_601,calvet_ufactor_0_5,9
CALVET:UFactor:16,custom,GLOBmeas_1457,calvet_ufactor_16,2
CALVET:UFactor:2,custom,GLOBmeas_169,calvet_ufactor_2,187
CALVET:UFactor:2:dHEX1:1%,custom,GLOBmeas_1815,calvet_ufactor_2_dhex1_1,1
CALVET:UFactor:4,custom,GLOBmeas_254,calvet_ufactor_4,47
CALVET:UFactor:6,custom,GLOBmeas_657,calvet_ufactor_6,8
CALVET:UFactor:8,custom,GLOBmeas_562,calvet_ufactor_8,10
CALVET:dHEX1:1%:UFactor:4,custom,GLOBmeas_1813,calvet_dhex1_1_ufactor_4,1
CALVET:solid,custom,GLOBmeas_287,calvet_solid,35
CAPRISE::UFactor:4,custom,GLOBmeas_901,caprise_ufactor_4,2
CAPRISE::UFactor:8,custom,GLOBmeas_659,caprise_ufactor_8,3
CAPRISE:UFactor:0.5,custom,GLOBmeas_1225,caprise_ufactor_0_5,3
CAPRISE:UFactor:2,custom,GLOBmeas_1039,caprise_ufactor_2,4
CAPRISE:UFactor:4,custom,GLOBmeas_901,caprise_ufactor_4,3
CAPRISE:UFactor:8,custom,GLOBmeas_659,caprise_ufactor_8,5
CAPTUB::UFactor:10,custom,GLOBmeas_602,captub_ufactor_10,3
CAPTUB::UFactor:12,custom,GLOBmeas_308,captub_ufactor_12,11
CAPTUB::UFactor:16,custom,GLOBmeas_205,captub_ufactor_16,23
CAPTUB::UFactor:2,custom,GLOBmeas_140,captub_ufactor_2,166
CAPTUB::UFactor:32,custom,GLOBmeas_465,captub_ufactor_32,5
CAPTUB::UFactor:4,custom,GLOBmeas_142,captub_ufactor_4,120
CAPTUB::UFactor:6,custom,GLOBmeas_271,captub_ufactor_6,5
CAPTUB::UFactor:8,custom,GLOBmeas_165,captub_ufactor_8,30
CAPTUB:UFactor:1,custom,GLOBmeas_1819,captub_ufactor_1,1
CAPTUB:UFactor:10,custom,GLOBmeas_602,captub_ufactor_10,6
CAPTUB:UFactor:12,custom,GLOBmeas_308,captub_ufactor_12,20
CAPTUB:UFactor:16,custom,GLOBmeas_205,captub_ufactor_16,67
CAPTUB:UFactor:2,custom,GLOBmeas_140,captub_ufactor_2,591
CAPTUB:UFactor:2:UFactor:2,custom,GLOBmeas_1820,captub_ufactor_2_ufactor_2,1
CAPTUB:UFactor:3,custom,GLOBmeas_227,captub_ufactor_3,61
CAPTUB:UFactor:32,custom,GLOBmeas_465,captub_ufactor_32,9
CAPTUB:UFactor:4,custom,GLOBmeas_142,captub_ufactor_4,486
CAPTUB:UFactor:6,custom,GLOBmeas_271,captub_ufactor_6,36
CAPTUB:UFactor:8,custom,GLOBmeas_165,captub_ufactor_8,178
CAPTUB:dW2:0.001:UFactor:16,custom,GLOBmeas_1040,captub_dw2_0_001_ufactor_16,4
CCDM:UFactor:2,custom,GLOBmeas_1226,ccdm_ufactor_2,3
CCDM:UFactor:4,custom,GLOBmeas_1821,ccdm_ufactor_4,1
CCELL1,custom,GLOBmeas_466,ccell1,14
CCELL13,custom,GLOBmeas_779,ccell13,6
CCELL::UFactor:2,custom,GLOBmeas_164,ccell_ufactor_2,18
CCELL::UFactor:4,custom,GLOBmeas_171,ccell_ufactor_4,10
CCELL::UFactor:6,custom,GLOBmeas_330,ccell_ufactor_6,2
CCELL::UFactor:8,custom,GLOBmeas_161,ccell_ufactor_8,2
CCELL:UFactor:0.5,custom,GLOBmeas_507,ccell_ufactor_0_5,12
CCELL:UFactor:10,custom,GLOBmeas_1229,ccell_ufactor_10,3
CCELL:UFactor:12,custom,GLOBmeas_603,ccell_ufactor_12,9
CCELL:UFactor:128,custom,GLOBmeas_1459,ccell_ufactor_128,2
CCELL:UFactor:16,custom,GLOBmeas_202,ccell_ufactor_16,96
CCELL:UFactor:2,custom,GLOBmeas_164,ccell_ufactor_2,203
CCELL:UFactor:24,custom,GLOBmeas_426,ccell_ufactor_24,16
CCELL:UFactor:2:FP,custom,GLOBmeas_1460,ccell_ufactor_2_fp,2
CCELL:UFactor:3,custom,GLOBmeas_481,ccell_ufactor_3,13
CCELL:UFactor:32,custom,GLOBmeas_397,ccell_ufactor_32,18
CCELL:UFactor:4,custom,GLOBmeas_171,ccell_ufactor_4,162
CCELL:UFactor:6,custom,GLOBmeas_330,ccell_ufactor_6,25
CCELL:UFactor:64,custom,GLOBmeas_780,ccell_ufactor_64,6
CCELL:UFactor:8,custom,GLOBmeas_161,ccell_ufactor_8,230
CCELL:UFactor:96,custom,GLOBmeas_1822,ccell_ufactor_96,1
CCELL:dPV:0.001,custom,GLOBmeas_1458,ccell_dpv_0_001,2
CCELL:dPV:0.01,custom,GLOBmeas_1228,ccell_dpv_0_01,3
CCell,custom,GLOBmeas_1227,ccell,3
CDM210 radiometer analytical conductivimeter,custom,GLOBmeas_781,cdm210_radiometer_analytical_conductivimeter,6
CHROM: :Method:CHROM,custom,GLOBmeas_1464,chrom_method_chrom,2
CHROM::UFactor:8,custom,GLOBmeas_150,chrom_ufactor_8,1
CHROM:UFactor:12,custom,GLOBmeas_331,chrom_ufactor_12,27
CHROM:UFactor:16,custom,GLOBmeas_189,chrom_ufactor_16,127
CHROM:UFactor:2,custom,GLOBmeas_149,chrom_ufactor_2,355
CHROM:UFactor:24,custom,GLOBmeas_1041,chrom_ufactor_24,4
CHROM:UFactor:3,custom,GLOBmeas_408,chrom_ufactor_3,17
CHROM:UFactor:32,custom,GLOBmeas_482,chrom_ufactor_32,13
CHROM:UFactor:4,custom,GLOBmeas_145,chrom_ufactor_4,507
CHROM:UFactor:6,custom,GLOBmeas_250,chrom_ufactor_6,50
CHROM:UFactor:64,custom,GLOBmeas_1230,chrom_ufactor_64,3
CHROM:UFactor:8,custom,GLOBmeas_150,chrom_ufactor_8,346
CO2 Analyzer,custom,GLOBmeas_904,co2_analyzer,4
CO2 Expansion into Calibration Volume,custom,GLOBmeas_661,co2_expansion_into_calibration_volume,8
CO2 analyzer,custom,GLOBmeas_904,co2_analyzer,1
CONCYL::UFactor:4,custom,GLOBmeas_216,concyl_ufactor_4,4
CONCYL::UFactor:8,custom,GLOBmeas_284,concyl_ufactor_8,8
CONCYL:UFactor:12,custom,GLOBmeas_1474,concyl_ufactor_12,2
CONCYL:UFactor:16,custom,GLOBmeas_410,concyl_ufactor_16,17
CONCYL:UFactor:2,custom,GLOBmeas_241,concyl_ufactor_2,54
CONCYL:UFactor:3,custom,GLOBmeas_512,concyl_ufactor_3,12
CONCYL:UFactor:32,custom,GLOBmeas_1046,concyl_ufactor_32,4
CONCYL:UFactor:4,custom,GLOBmeas_216,concyl_ufactor_4,70
CONCYL:UFactor:5,custom,GLOBmeas_1836,concyl_ufactor_5,1
CONCYL:UFactor:6,custom,GLOBmeas_1837,concyl_ufactor_6,1
CONCYL:UFactor:64,custom,GLOBmeas_1838,concyl_ufactor_64,1
CONCYL:UFactor:8,custom,GLOBmeas_284,concyl_ufactor_8,30
CONPLT:UFactor:2,custom,GLOBmeas_309,conplt_ufactor_2,31
CONPLT:UFactor:3,custom,GLOBmeas_908,conplt_ufactor_3,5
CONPLT:UFactor:4,custom,GLOBmeas_336,conplt_ufactor_4,26
CONPLT:UFactor:8,custom,GLOBmeas_909,conplt_ufactor_8,5
CRISON model GLP31,custom,GLOBmeas_1843,crison_model_glp31,1
Cailletet Apparatus,custom,GLOBmeas_445,cailletet_apparatus,5
Cailletet apparatus,custom,GLOBmeas_445,cailletet_apparatus,3
Calculated,custom,GLOBmeas_446,calculated,7
"Calculated as the difference between measured values of enthalpy of C1,L,air and C3,C2, air",custom,GLOBmeas_1800,calculated_as_the_difference_between_measured_values_of_enthalpy_of_c1_l_air_and_c3_c2_air,1
Calculated by material balance,custom,GLOBmeas_1446,calculated_by_material_balance,2
Calculated from Density measurements,custom,GLOBmeas_1803,calculated_from_density_measurements,1
Calculated from Density-Temperature Data,custom,GLOBmeas_462,calculated_from_density_temperature_data,14
Calculated from EMF cell potential,custom,GLOBmeas_185,calculated_from_emf_cell_potential,144
Calculated from Margules model,custom,GLOBmeas_1805,calculated_from_margules_model,1
Calculated from Osmotic Coefficients,custom,GLOBmeas_777,calculated_from_osmotic_coefficients,6
Calculated from correlation,custom,GLOBmeas_1448,calculated_from_correlation,2
Calculated from densities of this investigation,custom,GLOBmeas_1449,calculated_from_densities_of_this_investigation,2
Calculated from density,custom,GLOBmeas_1802,calculated_from_density,1
Calculated from emf measurements,custom,GLOBmeas_1450,calculated_from_emf_measurements,2
Calculated from enthalpies of dissolution,custom,GLOBmeas_1804,calculated_from_enthalpies_of_dissolution,1
Calculated from knudsen effusion weight loss,custom,GLOBmeas_148,calculated_from_knudsen_effusion_weight_loss,358
Calculated from pVT measurements,custom,GLOBmeas_1807,calculated_from_pvt_measurements,1
Calculated from the degassed mass introduced in the equilibrium cell.,custom,GLOBmeas_1451,calculated_from_the_degassed_mass_introduced_in_the_equilibrium_cell,2
Calculated using Barker's Method,custom,GLOBmeas_1034,calculated_using_barker_s_method,4
Calculated with densities of this investigation,standard,GLOBmeas_29,calculated_with_densities_of_this_investigation,370
Calculation,custom,GLOBmeas_463,calculation,14
Calculation from weight of solute residue after evaporation and the weight of solution.,custom,GLOBmeas_1809,calculation_from_weight_of_solute_residue_after_evaporation_and_the_weight_of_solution,1
Calibrated commercial gas detector,custom,GLOBmeas_1810,calibrated_commercial_gas_detector,1
Calibrated commercial gas sensor,custom,GLOBmeas_1811,calibrated_commercial_gas_sensor,1
Calletet apparatus,custom,GLOBmeas_1035,calletet_apparatus,4
Calorimetric determination,custom,GLOBmeas_1812,calorimetric_determination,1
Calset Calorimeter,custom,GLOBmeas_1036,calset_calorimeter,4
Calver Calorimeter- drop method,custom,GLOBmeas_1037,calver_calorimeter_drop_method,4
Calvet,custom,GLOBmeas_1221,calvet,3
Calvet Calorimetry,custom,GLOBmeas_13,calvet_calorimetry,7
Calvet Microcalorimeter,custom,GLOBmeas_1224,calvet_microcalorimeter,3
Calvet Microcalorimetry,custom,GLOBmeas_208,calvet_microcalorimetry,4
Calvet calorimetry,custom,GLOBmeas_13,calvet_calorimetry,1
Calvet calorimetry,standard,GLOBmeas_13,calvet_calorimetry,911
Calvet calorimetry with correction to 298 K for gas heat capacity,custom,GLOBmeas_1455,calvet_calorimetry_with_correction_to_298_k_for_gas_heat_capacity,2
Calvet calorimetry with estimated adjustment using gas-phase Cp,custom,GLOBmeas_1222,calvet_calorimetry_with_estimated_adjustment_using_gas_phase_cp,3
Calvet drop calorimeter,custom,GLOBmeas_1814,calvet_drop_calorimeter,1
Calvet drop calorimetry,custom,GLOBmeas_1038,calvet_drop_calorimetry,4
Calvet microcalorimetry,custom,GLOBmeas_208,calvet_microcalorimetry,73
Calvet microcalorimetry - drop method,custom,GLOBmeas_1456,calvet_microcalorimetry_drop_method,2
Calvet-Micro Calorimetry,custom,GLOBmeas_1223,calvet_micro_calorimetry,3
Cambridge Visco Pro 2000,custom,GLOBmeas_1816,cambridge_visco_pro_2000,1
Camera Imaging,custom,GLOBmeas_658,camera_imaging,8
Capacitive measurement method at f=1 MHz,custom,GLOBmeas_778,capacitive_measurement_method_at_f_1_mhz,6
Capillary flow,custom,GLOBmeas_198,capillary_flow,102
Capillary rise,standard,GLOBmeas_58,capillary_rise,85
Capillary tube (Ostwald; Ubbelohde) method,standard,GLOBmeas_4,capillary_tube_ostwald_ubbelohde_method,3407
Change in gas volume before and after dissolution,custom,GLOBmeas_1462,change_in_gas_volume_before_and_after_dissolution,2
Change in the gas volume,custom,GLOBmeas_509,change_in_the_gas_volume,12
Chemical Analysis,custom,GLOBmeas_248,chemical_analysis,4
Chemical analysis,custom,GLOBmeas_248,chemical_analysis,11
Chemical equilibration / Heterogeneous equilibration,standard,GLOBmeas_91,chemical_equilibration_heterogeneous_equilibration,17
Chilled-mirror Dew Point Technique,custom,GLOBmeas_783,chilled_mirror_dew_point_technique,2
Chromatographic Impulse Response (CIR),custom,GLOBmeas_1827,chromatographic_impulse_response_cir,1
Chromatographic impulse response,custom,GLOBmeas_1465,chromatographic_impulse_response,2
Chromatographic impulse response method,custom,GLOBmeas_660,chromatographic_impulse_response_method,2
Chromatographic retention time,custom,GLOBmeas_409,chromatographic_retention_time,17
Chromatography,custom,GLOBmeas_1,chromatography,9
Chromatography,standard,GLOBmeas_1,chromatography,21413
Chromatography + Titration,custom,GLOBmeas_371,chromatography_titration,15
Chromatography + gravimetric,custom,GLOBmeas_1466,chromatography_gravimetric,2
Chromatography + titration,custom,GLOBmeas_371,chromatography_titration,5
Chromatography and Karl Fischer titration,custom,GLOBmeas_1829,chromatography_and_karl_fischer_titration,1
Chromatography and Titration,custom,GLOBmeas_297,chromatography_and_titration,30
Clausius-Clapeyron,custom,GLOBmeas_1232,clausius_clapeyron,3
Clausius-Clapeyron Eq,custom,GLOBmeas_1469,clausius_clapeyron_eq,2
Clausius-Clapeyron Eq with Heat Capacity,custom,GLOBmeas_1470,clausius_clapeyron_eq_with_heat_capacity,2
Clausius-Clapeyron Equation,custom,GLOBmeas_1233,clausius_clapeyron_equation,3
Clausius-Clapeyron equation and measured Psat,custom,GLOBmeas_1471,clausius_clapeyron_equation_and_measured_psat,2
Closed Cell,custom,GLOBmeas_364,closed_cell,3
Closed Cell Method,custom,GLOBmeas_1831,closed_cell_method,1
Closed cell,custom,GLOBmeas_364,closed_cell,13
Closed cell (Static) method,custom,GLOBmeas_133,closed_cell_static_method,2833
Closed cup calorimetry ,standard,GLOBmeas_118,closed_cup_calorimetry,4
Cloud Point,custom,GLOBmeas_467,cloud_point,1
Cloud Point Method,custom,GLOBmeas_226,cloud_point_method,36
Cloud point method,custom,GLOBmeas_226,cloud_point_method,11
Cloud point titration,custom,GLOBmeas_1044,cloud_point_titration,2
Cloud point titration method,custom,GLOBmeas_785,cloud_point_titration_method,6
Cloud-Point Method,custom,GLOBmeas_226,cloud_point_method,6
Cloud-point method,custom,GLOBmeas_226,cloud_point_method,3
Coaxial cylinder capacitor,standard,GLOBmeas_53,coaxial_cylinder_capacitor,126
Coaxial cylinder method,standard,GLOBmeas_79,coaxial_cylinder_method,36
Cold vapor atomic fluorescence spectrometry,custom,GLOBmeas_905,cold_vapor_atomic_fluorescence_spectrometry,5
Combination AA and UV-VIS spectroscopy,custom,GLOBmeas_1235,combination_aa_and_uv_vis_spectroscopy,3
Combination of Knudsen method and mass spectroscopy,custom,GLOBmeas_1473,combination_of_knudsen_method_and_mass_spectroscopy,2
Combination of emf and XRD measurements,custom,GLOBmeas_1472,combination_of_emf_and_xrd_measurements,2
Combination of gravimetric and volumetric methods,custom,GLOBmeas_1237,combination_of_gravimetric_and_volumetric_methods,3
Component 2 is not volatile,custom,GLOBmeas_1833,component_2_is_not_volatile,1
Concentric Cylinder Capacitor,custom,GLOBmeas_1835,concentric_cylinder_capacitor,1
Concentric cylinders viscometry,standard,GLOBmeas_11,concentric_cylinders_viscometry,1082
Conductivity Bridge With Dip Cell,custom,GLOBmeas_906,conductivity_bridge_with_dip_cell,4
Conductivity Bridge with Dip Cell,custom,GLOBmeas_906,conductivity_bridge_with_dip_cell,1
"Conductivity Meter (FE30, Mettler Toledo Int. Inc., Switzerland)",custom,GLOBmeas_1477,conductivity_meter_fe30_mettler_toledo_int_inc_switzerland,2
Conductivity Meter Jenco 3107,custom,GLOBmeas_1478,conductivity_meter_jenco_3107,2
Conductivity measurement method,custom,GLOBmeas_715,conductivity_measurement_method,7
Conductivity measurements,custom,GLOBmeas_1047,conductivity_measurements,4
Conductivity method,custom,GLOBmeas_716,conductivity_method,3
Cone and plate viscometry,standard,GLOBmeas_33,cone_and_plate_viscometry,291
Constant Pressure Calorimeter,custom,GLOBmeas_1480,constant_pressure_calorimeter,2
Constant volume piezo-calorimeter,custom,GLOBmeas_1481,constant_volume_piezo_calorimeter,1
Constant-volume piezometry,standard,GLOBmeas_66,constant_volume_piezometry,64
